year,sex,name,n,prop
1921,M,George,27474,0.02414394621789661
1921,M,Paul,13167,0.011571061361689039
1922,M,John,57275,0.05089681476136481
1922,M,George,27350,0.024304284307696683
1922,M,Paul,12926,0.011486551333136648
1923,M,John,57476,0.05075757508855376
1923,M,George,27030,0.023870437306764705
1923,M,Paul,13365,0.01180275229762894
1924,M,John,59055,0.05051632638397027
1924,M,George,27370,0.023412612871547986
1924,M,Paul,13338,0.011409478643796385
1925,M,John,57195,0.04967206622594776
1925,M,George,26564,0.023070002049586088
1925,M,Paul,14177,0.012312280494540806
1926,M,John,56114,0.04898796558602838
1926,M,George,25900,0.022610904741742436
1926,M,Paul,13652,0.011918303920241997
1927,M,John,55949,0.04815762586838058
1927,M,George,25951,0.02233710252033717
1927,M,Paul,13604,0.011709527289378708
1928,M,John,53746,0.04710024905836308
1928,M,George,24401,0.021383789998755585
1928,M,Paul,13159,0.011531875439269897
1929,M,John,52113,0.04705866417435356
1929,M,George,23016,0.020783724111774825
1929,M,Paul,12429,0.01122353610467715
1930,M,John,52433,0.046426645581220734
1930,M,George,22773,0.020164285847102774
1930,M,Paul,12956,0.011471852080756314
1931,M,John,48403,0.045263183487817105
1931,M,George,20678,0.019336654921411525
1931,M,Paul,12251,0.011456299421714508
1932,M,John,48603,0.045247154306546376
1932,M,George,20437,0.019025905655265893
1932,M,Paul,12068,0.01123475213816846
1933,M,John,46224,0.04532257922185649
1933,M,George,18359,0.018000978537860493
1933,M,Paul,11847,0.011615969973202966
1934,M,John,46733,0.04401896659558275
1934,M,George,18494,0.01741995523973867
1934,M,Paul,12195,0.011486771609636267
1935,M,John,47489,0.04441233546094316
1935,M,George,18554,0.017351944074255922
1935,M,Paul,12558,0.011744406256575718
1936,M,John,47665,0.04479325934982347
1936,M,George,18192,0.01709596085370793
1936,M,Paul,12303,0.01156176376336679
1937,M,John,48745,0.04458059306044468
1937,M,George,18429,0.01685456456069207
1937,M,Paul,12871,0.011771398364570387
1938,M,John,50507,0.04445166133760714
1938,M,George,18435,0.01622480798223588
1938,M,Paul,13356,0.011754734765974637
1939,M,John,51021,0.045028236969911456
1939,M,George,17886,0.015785167802352684
1939,M,Paul,13330,0.011764300950763798
1940,M,John,54766,0.046177688737790726
1940,M,George,18307,0.015436127300199665
1940,M,Paul,14104,0.011892234633856781
1941,M,John,57510,0.04583982285789894
1941,M,George,19258,0.015350083613239746
1941,M,Paul,15157,0.012081276213826712
1942,M,John,66023,0.04689040274767263
1942,M,George,21270,0.015106233682852898
1942,M,Paul,16487,0.011709284190371214
1943,M,John,68926,0.04739582867748131
1943,M,George,21676,0.014905144392726763
1943,M,Paul,17253,0.011863741290261803
1944,M,John,66610,0.047958643679733313
1944,M,George,20418,0.014700789470842138
1944,M,Paul,16654,0.011990740907405473
