region,value
alabama,37.5
alaska,33.8
arizona,35.5
arkansas,37.2
california,34.9
colorado,35.8
connecticut,39.5
delaware,38.3
district of columbia,34.3
florida,40.3
georgia,35
hawaii,38.2
idaho,34.4
illinois,36.2
indiana,36.6
iowa,38
kansas,36.1
kentucky,37.7
louisiana,35.9
maine,42
maryland,37.6
massachusetts,38.7
michigan,38.1
minnesota,37.1
mississippi,35.8
missouri,37.6
montana,39.7
nebraska,36.2
nevada,35.9
new hampshire,40.3
new jersey,38.5
new mexico,36.4
new york,37.7
north carolina,37.1
north dakota,37.2
ohio,38.3
oklahoma,36.3
oregon,38.1
pennsylvania,39.8
rhode island,38.9
south carolina,37.4
south dakota,37.2
tennessee,37.6
texas,33.4
utah,28.8
vermont,41
virginia,37.2
washington,37
west virginia,41.1
wisconsin,38.1
wyoming,37
